top 10 cumulative:
Fri Feb 10 20:10:45 2012    asymm_interface_0.profile
        1    0.001    0.001    0.001    0.001 socket.py:179(_socketobject)
        3    0.001    0.000    0.003    0.001 socket.py:185(__init__)
     5231    0.221    0.000    1.530    0.000 socket.py:223(meth)
        1    0.000    0.000    0.000    0.000 socket.py:235(_fileobject)
        1    0.006    0.006    0.009    0.009 socket.py:45(<module>)
        2    0.001    0.000    0.001    0.000 sre_compile.py:32(_compile)
        2    0.001    0.000    0.001    0.001 sre_compile.py:361(_compile_info)
        4    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
        2    0.000    0.000    0.002    0.001 sre_compile.py:480(_code)
        2    0.000    0.000    0.006    0.003 sre_compile.py:495(compile)
       22    0.000    0.000    0.001    0.000 sre_parse.py:138(append)
        2    0.000    0.000    0.001    0.000 sre_parse.py:140(getwidth)
        2    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
       28    0.001    0.000    0.001    0.000 sre_parse.py:182(__next)
        2    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
       26    0.000    0.000    0.001    0.000 sre_parse.py:201(get)
        2    0.000    0.000    0.003    0.002 sre_parse.py:301(_parse_sub)
        2    0.001    0.001    0.003    0.002 sre_parse.py:379(_parse)
        2    0.000    0.000    0.004    0.002 sre_parse.py:663(parse)
        2    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.046    0.046    0.065    0.065 ssl.py:56(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:94(SSLSocket)
        1    0.004    0.004    0.006    0.006 threading.py:1(<module>)
        2    0.000    0.000    0.000    0.000 threading.py:101(RLock)
        1    0.000    0.000    0.000    0.000 threading.py:104(_RLock)
        2    0.000    0.000    0.000    0.000 threading.py:106(__init__)
     5231    0.395    0.000    0.576    0.000 threading.py:121(acquire)
     5231    0.355    0.000    0.483    0.000 threading.py:141(release)
        2    0.000    0.000    0.001    0.000 threading.py:181(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:184(_Condition)
        2    0.000    0.000    0.000    0.000 threading.py:186(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:226(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:277(notify)
        1    0.000    0.000    0.000    0.000 threading.py:295(notifyAll)
        1    0.000    0.000    0.000    0.000 threading.py:304(_Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:352(_BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:364(Event)
