top 10 cumulative:
Thu Oct 27 15:33:46 2011    sequencer.profile
        4    0.000    0.000    0.000    0.000 dyld.py:96(dyld_executable_path_search)
        1    0.000    0.000    0.001    0.001 dylib.py:6(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:102(__init__)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:71(JSONEncoder)
        2    0.001    0.000    0.010    0.005 errors.py:15(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:18(BSONError)
        1    0.000    0.000    0.000    0.000 errors.py:20(PyMongoError)
        1    0.000    0.000    0.000    0.000 errors.py:23(InvalidBSON)
        1    0.000    0.000    0.000    0.000 errors.py:27(ConnectionFailure)
        1    0.000    0.000    0.000    0.000 errors.py:28(InvalidStringData)
        1    0.000    0.000    0.000    0.000 errors.py:32(AutoReconnect)
        1    0.000    0.000    0.000    0.000 errors.py:33(InvalidDocument)
        1    0.000    0.000    0.000    0.000 errors.py:38(InvalidId)
        1    0.000    0.000    0.000    0.000 errors.py:44(ConfigurationError)
        1    0.000    0.000    0.000    0.000 errors.py:49(OperationFailure)
        1    0.000    0.000    0.000    0.000 errors.py:61(TimeoutError)
        1    0.000    0.000    0.000    0.000 errors.py:68(DuplicateKeyError)
        1    0.000    0.000    0.000    0.000 errors.py:77(InvalidOperation)
        1    0.000    0.000    0.000    0.000 errors.py:82(InvalidName)
        1    0.000    0.000    0.000    0.000 errors.py:87(CollectionInvalid)
        1    0.000    0.000    0.000    0.000 errors.py:92(InvalidURI)
        1    0.000    0.000    0.000    0.000 errors.py:98(UnsupportedOption)
        8    0.000    0.000    0.000    0.000 framework.py:22(framework_info)
        1    0.000    0.000    0.002    0.002 framework.py:6(<module>)
       24    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
        1    0.000    0.000    0.000    0.000 hashlib.py:55(<module>)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
       42    0.000    0.000    0.000    0.000 helpers.py:111(_check_command_response)
        1    0.000    0.000    0.000    0.000 helpers.py:15(<module>)
       56    0.000    0.000    0.003    0.000 helpers.py:75(_unpack_response)
        1    0.000    0.000    0.000    0.000 hex_codec.py:27(hex_decode)
        1    0.000    0.000    0.000    0.000 hex_codec.py:45(Codec)
        1    0.000    0.000    0.000    0.000 hex_codec.py:52(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 hex_codec.py:57(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 hex_codec.py:62(StreamWriter)
        1    0.000    0.000    0.000    0.000 hex_codec.py:65(StreamReader)
        1    0.000    0.000    0.000    0.000 hex_codec.py:70(getregentry)
        1    0.000    0.000    0.000    0.000 hex_codec.py:8(<module>)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 max_key.py:16(<module>)
        1    0.000    0.000    0.000    0.000 max_key.py:19(MaxKey)
        1    0.000    0.000    0.000    0.000 message.py:23(<module>)
        1    0.000    0.000    0.000    0.000 min_key.py:16(<module>)
        1    0.000    0.000    0.000    0.000 min_key.py:19(MinKey)
       14    0.000    0.000    0.000    0.000 objectid.py:142(__validate)
        1    0.000    0.000    0.000    0.000 objectid.py:17(<module>)
        1    0.000    0.000    0.000    0.000 objectid.py:37(_machine_bytes)
        1    0.000    0.000    0.000    0.000 objectid.py:45(ObjectId)
       14    0.000    0.000    0.000    0.000 objectid.py:56(__init__)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
        1    0.000    0.000    0.000    0.000 os.py:743(urandom)
        1    0.000    0.000    0.000    0.000 pickle.py:1261(_EmptyClass)
        1    0.000    0.000    0.000    0.000 pickle.py:171(Pickler)
        1    0.000    0.000    0.001    0.001 pickle.py:25(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:58(PickleError)
        1    0.000    0.000    0.000    0.000 pickle.py:62(PicklingError)
        1    0.000    0.000    0.000    0.000 pickle.py:69(UnpicklingError)
        1    0.000    0.000    0.000    0.000 pickle.py:82(_Stop)
        1    0.000    0.000    0.000    0.000 pickle.py:827(Unpickler)
       16    0.000    0.000    0.000    0.000 posixpath.py:110(basename)
        2    0.000    0.000    0.000    0.000 posixpath.py:249(expanduser)
       20    0.000    0.000    0.000    0.000 posixpath.py:60(join)
        1    0.000    0.000    0.000    0.000 random.py:100(seed)
        1    0.001    0.001    0.002    0.002 random.py:40(<module>)
        1    0.000    0.000    0.000    0.000 random.py:653(WichmannHill)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 random.py:803(SystemRandom)
        1    0.000    0.000    0.000    0.000 random.py:91(__init__)
      117    0.000    0.000    0.001    0.000 re.py:134(match)
       15    0.000    0.000    0.005    0.000 re.py:188(compile)
      132    0.000    0.000    0.006    0.000 re.py:228(_compile)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        1    0.003    0.003   57.697   57.697 sequencer.py:1(<module>)
    14756    0.462    0.000   57.194    0.004 sequencer.py:120(sendSignedInterest)
        1    0.000    0.000    0.000    0.000 sequencer.py:17(sequencer)
        1    0.000    0.000    0.000    0.000 sequencer.py:19(__init__)
        1    0.000    0.000    0.000    0.000 sequencer.py:28(loadConfigFile)
        1    0.000    0.000    0.000    0.000 sequencer.py:34(getApplicationKey)
        1    0.000    0.000   57.658   57.658 sequencer.py:42(start)
        1    0.002    0.002   57.658   57.658 sequencer.py:47(play)
       14    0.364    0.026   57.557    4.111 sequencer.py:66(sendImageSequence)
        1    0.000    0.000    0.000    0.000 sequencer_cfg.py:3(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:167(_closedsocket)
        1    0.000    0.000    0.000    0.000 socket.py:179(_socketobject)
        1    0.000    0.000    0.000    0.000 socket.py:185(__init__)
       73    0.000    0.000    0.002    0.000 socket.py:223(meth)
        1    0.000    0.000    0.000    0.000 socket.py:235(_fileobject)
        1    0.000    0.000    0.001    0.001 socket.py:45(<module>)
      194    0.000    0.000    0.000    0.000 son.py:101(__iter__)
      138    0.000    0.000    0.000    0.000 son.py:108(__contains__)
      154    0.000    0.000    0.001    0.000 son.py:162(update)
        1    0.000    0.000    0.000    0.000 son.py:19(<module>)
        1    0.000    0.000    0.000    0.000 son.py:24(SON)
       56    0.000    0.000    0.001    0.000 son.py:69(__init__)
       42    0.001    0.000    0.001    0.000 son.py:75(__repr__)
      138    0.000    0.000    0.001    0.000 son.py:81(__setitem__)
      194    0.000    0.000    0.000    0.000 son.py:90(keys)
        1    0.000    0.000    0.000    0.000 son_manipulator.py:110(AutoReference)
        1    0.000    0.000    0.000    0.000 son_manipulator.py:19(<module>)
        1    0.000    0.000    0.000    0.000 son_manipulator.py:26(SONManipulator)
        2    0.000    0.000    0.000    0.000 son_manipulator.py:32(will_copy)
        1    0.000    0.000    0.000    0.000 son_manipulator.py:65(ObjectIdInjector)
        1    0.000    0.000    0.000    0.000 son_manipulator.py:80(ObjectIdShuffler)
        1    0.000    0.000    0.000    0.000 son_manipulator.py:99(NamespaceInjector)
       21    0.000    0.000    0.001    0.000 sre_compile.py:178(_compile_charset)
       21    0.001    0.000    0.001    0.000 sre_compile.py:207(_optimize_charset)
       75    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        5    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
    65/12    0.000    0.000    0.001    0.000 sre_compile.py:32(_compile)
       22    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
